STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,TOVM,Retail trade volume,GR,Growth rate,G47,"Retail trade, except of motor vehicles and motorcycles",Y,Calendar and seasonally adjusted,G1,"Growth rate, period on period",1959-08,,0.534983571917158,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,TOVM,Retail trade volume,GR,Growth rate,G47,"Retail trade, except of motor vehicles and motorcycles",Y,Calendar and seasonally adjusted,G1,"Growth rate, period on period",1959-09,,-1.54327048699484,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,TOVM,Retail trade volume,GR,Growth rate,G47,"Retail trade, except of motor vehicles and motorcycles",Y,Calendar and seasonally adjusted,G1,"Growth rate, period on period",1959-10,,0.388256322428716,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,TOVM,Retail trade volume,GR,Growth rate,G47,"Retail trade, except of motor vehicles and motorcycles",Y,Calendar and seasonally adjusted,G1,"Growth rate, period on period",1959-11,,-2.63505336120586,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,TOVM,Retail trade volume,GR,Growth rate,G47,"Retail trade, except of motor vehicles and motorcycles",Y,Calendar and seasonally adjusted,G1,"Growth rate, period on period",1959-12,,-0.666370057348931,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,TOVM,Retail trade volume,GR,Growth rate,G47,"Retail trade, except of motor vehicles and motorcycles",Y,Calendar and seasonally adjusted,G1,"Growth rate, period on period",1960-01,,-4.32304801485875,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,TOVM,Retail trade volume,GR,Growth rate,G47,"Retail trade, except of motor vehicles and motorcycles",Y,Calendar and seasonally adjusted,G1,"Growth rate, period on period",1960-02,,0.233817581287618,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,TOVM,Retail trade volume,GR,Growth rate,G47,"Retail trade, except of motor vehicles and motorcycles",Y,Calendar and seasonally adjusted,G1,"Growth rate, period on period",1960-03,,-0.110138199203289,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,TOVM,Retail trade volume,GR,Growth rate,G47,"Retail trade, except of motor vehicles and motorcycles",Y,Calendar and seasonally adjusted,G1,"Growth rate, period on period",1960-04,,2.17255012887373,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,TOVM,Retail trade volume,GR,Growth rate,G47,"Retail trade, except of motor vehicles and motorcycles",Y,Calendar and seasonally adjusted,G1,"Growth rate, period on period",1960-05,,-1.59335831464381,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,TOVM,Retail trade volume,GR,Growth rate,G47,"Retail trade, except of motor vehicles and motorcycles",Y,Calendar and seasonally adjusted,G1,"Growth rate, period on period",1960-06,,-0.27124170368145,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,TOVM,Retail trade volume,GR,Growth rate,G47,"Retail trade, except of motor vehicles and motorcycles",Y,Calendar and seasonally adjusted,G1,"Growth rate, period on period",1960-07,,-0.803800075911609,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,TOVM,Retail trade volume,GR,Growth rate,G47,"Retail trade, except of motor vehicles and motorcycles",Y,Calendar and seasonally adjusted,G1,"Growth rate, period on period",1960-08,,0.138685031534038,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,TOVM,Retail trade volume,GR,Growth rate,G47,"Retail trade, except of motor vehicles and motorcycles",Y,Calendar and seasonally adjusted,G1,"Growth rate, period on period",1960-09,,-0.0934579085823617,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,TOVM,Retail trade volume,GR,Growth rate,G47,"Retail trade, except of motor vehicles and motorcycles",Y,Calendar and seasonally adjusted,G1,"Growth rate, period on period",1960-10,,0.40569556930066,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,TOVM,Retail trade volume,GR,Growth rate,G47,"Retail trade, except of motor vehicles and motorcycles",Y,Calendar and seasonally adjusted,G1,"Growth rate, period on period",1960-11,,-1.52841597698724,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,TOVM,Retail trade volume,GR,Growth rate,G47,"Retail trade, except of motor vehicles and motorcycles",Y,Calendar and seasonally adjusted,G1,"Growth rate, period on period",1960-12,,-0.830354385363448,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,TOVM,Retail trade volume,GR,Growth rate,G47,"Retail trade, except of motor vehicles and motorcycles",Y,Calendar and seasonally adjusted,G1,"Growth rate, period on period",1961-01,,-0.0225723866621409,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,TOVM,Retail trade volume,GR,Growth rate,G47,"Retail trade, except of motor vehicles and motorcycles",Y,Calendar and seasonally adjusted,G1,"Growth rate, period on period",1961-02,,-0.356486362488279,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,TOVM,Retail trade volume,GR,Growth rate,G47,"Retail trade, except of motor vehicles and motorcycles",Y,Calendar and seasonally adjusted,G1,"Growth rate, period on period",1961-03,,1.05651516942784,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,TOVM,Retail trade volume,GR,Growth rate,G47,"Retail trade, except of motor vehicles and motorcycles",Y,Calendar and seasonally adjusted,G1,"Growth rate, period on period",1961-04,,-1.67125129896772,,A,Normal value,0,Units,1,One,,
