"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2006-04","Apr-2006","PC","Percentage","0","Units",,,4.99,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2006-05","May-2006","PC","Percentage","0","Units",,,5.11,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2006-06","Jun-2006","PC","Percentage","0","Units",,,5.11,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2006-07","Jul-2006","PC","Percentage","0","Units",,,5.09,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2006-08","Aug-2006","PC","Percentage","0","Units",,,4.88,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2006-09","Sep-2006","PC","Percentage","0","Units",,,4.72,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2006-10","Oct-2006","PC","Percentage","0","Units",,,4.73,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2006-11","Nov-2006","PC","Percentage","0","Units",,,4.6,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2006-12","Dec-2006","PC","Percentage","0","Units",,,4.56,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2007-01","Jan-2007","PC","Percentage","0","Units",,,4.76,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2007-02","Feb-2007","PC","Percentage","0","Units",,,4.72,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2007-03","Mar-2007","PC","Percentage","0","Units",,,4.56,,
