Date,Open,High,Low,Close,Adj Close,Volume
"Aug 1, 2007",386.44,398.76,362.87,397.04,397.04,210446600
"Jul 1, 2007",388.21,413.09,386.25,386.44,386.44,181772700
"Jun 1, 2007",385.78,392.24,376.58,388.21,388.21,175798800
"May 1, 2007",371.38,386.38,369.98,385.03,385.03,180926500
"Apr 1, 2007",352.34,376.36,351.23,371.38,371.38,166407200
"Mar 1, 2007",350.44,359.07,341.12,352.34,352.34,179031700
"Feb 1, 2007",361.86,367.48,347.47,350.44,350.44,156472800
"Jan 1, 2007",356.27,371.6,353.3,361.86,361.86,197323800
"Dec 1, 2006",361.19,365.31,352.83,356.28,356.28,143491400
"Nov 1, 2006",350.12,368.16,343.81,361.19,361.19,178636000
"Oct 1, 2006",336.28,352.74,332.37,350.12,350.12,182706400
"Sep 1, 2006",323.38,338.59,316.87,336.28,336.28,176648000
"Aug 1, 2006",298.7,325.14,292.63,323.38,323.38,177824400
"Jul 1, 2006",310.42,314.14,287.12,298.7,298.7,179345800
"Jun 1, 2006",315.72,322.79,298.93,310.42,310.42,194235200
"May 1, 2006",340.1,342.44,312.25,315.72,315.72,205751300
"Apr 1, 2006",344.06,352.5,339.44,340.1,340.1,179609800
"Mar 1, 2006",337.97,348.81,334.25,344.06,344.06,216599800
"Feb 1, 2006",341.37,344.45,331.39,337.97,337.97,157187000
"Jan 1, 2006",330.81,354.76,329.69,341.3,341.3,194522300
"Dec 1, 2005",340.88,348.32,329.91,330.81,330.81,146871200
"Nov 1, 2005",320.58,344.36,317.26,340.88,340.88,159334900
"Oct 1, 2005",327.8,329.59,310.16,320.58,320.58,172535200
"Sep 1, 2005",326.95,333.35,318.8,327.8,327.8,156633600
"Aug 1, 2005",327.96,334.61,321.26,326.95,326.95,145101600
"Jul 1, 2005",309.92,333.58,308.67,327.96,327.96,141829200
"Jun 1, 2005",315.51,322.07,308.36,309.92,309.92,149990200
"May 1, 2005",293.14,319.2,292.02,315.51,315.51,154116600
"Apr 1, 2005",304.93,308.2,286.04,293.14,293.14,173823300
"Mar 1, 2005",312.18,319.67,300.26,304.93,304.93,167997600
"Feb 1, 2005",312.26,320.12,306.24,312.18,312.18,154891600
"Jan 1, 2005",329.55,332.42,303.93,312.26,312.26,187342400
"Dec 1, 2004",320.5,335.46,320.5,329.55,329.55,177381100
"Nov 1, 2004",305.85,327.49,305.08,320.5,320.5,160618500
"Oct 1, 2004",290.63,306.93,290.63,305.85,305.85,160609600
"Sep 1, 2004",282.45,296.93,279.93,290.63,290.63,151864000
"Aug 1, 2004",298.56,300.32,267.0,282.45,282.45,143362700
"Jul 1, 2004",322.93,322.93,288.42,298.56,298.56,168555800
"Jun 1, 2004",314.26,324.98,307.96,322.93,322.93,142791600
"May 1, 2004",299.53,315.26,296.09,314.26,314.26,10690310900
"Apr 1, 2004",314.27,329.07,299.39,299.53,299.53,16579342400
"Mar 1, 2004",322.91,328.34,297.81,314.27,314.27,18609443600
"Feb 1, 2004",335.41,337.47,317.93,322.91,322.91,14830857300
"Jan 1, 2004",323.63,349.98,321.4,333.88,333.88,-
"Dec 1, 2003",316.89,323.44,304.7,322.66,322.66,-
"Nov 1, 2003",311.13,321.82,301.44,314.39,314.39,-
"Oct 1, 2003",288.25,315.96,287.78,309.6,309.6,-
"Sep 1, 2003",290.01,308.92,285.89,286.32,286.32,-
"Aug 1, 2003",272.28,290.32,259.65,288.27,288.27,339455600
"Jul 1, 2003",258.27,283.71,254.85,272.79,272.79,10528274500
"Jun 1, 2003",261.56,273.05,255.38,258.52,258.52,11304740000
"May 1, 2003",238.72,260.35,236.7,258.68,258.68,11288487400
"Apr 1, 2003",220.05,244.2,218.69,238.71,238.71,10206432600
"Mar 1, 2003",223.26,239.8,206.67,218.97,218.97,12019684600
"Feb 1, 2003",217.37,227.29,207.55,221.67,221.67,10413964400
"Jan 1, 2003",223.05,252.17,212.32,216.44,216.44,14058326200
"Dec 1, 2002",262.92,267.14,218.85,220.17,220.17,12593100000
"Nov 1, 2002",217.94,261.02,216.42,257.34,257.34,14586750800
"Oct 1, 2002",183.11,223.64,170.77,220.27,220.27,17410791800
"Sep 1, 2002",215.35,226.18,179.11,180.12,180.12,12998654800
"Aug 1, 2002",221.16,245.19,195.84,218.48,218.48,13342144400
"Jul 1, 2002",240.24,249.13,202.56,223.21,223.21,18877363200
"Jun 1, 2002",274.38,276.27,225.21,241.38,241.38,17183330600
"May 1, 2002",284.96,305.96,256.76,274.82,274.82,15094655400
"Apr 1, 2002",324.58,332.32,279.09,285.9,285.9,15754775200
"Mar 1, 2002",310.71,353.5,310.7,326.34,326.33,14560455400
"Feb 1, 2002",356.27,359.2,301.12,307.34,307.33,14696508800
"Jan 1, 2002",355.36,393.63,338.51,357.53,357.52,15499152300
"Dec 1, 2001",354.71,389.26,350.44,352.7,352.68,11753659800
"Nov 1, 2001",321.8,363.52,321.8,359.73,359.71,-
"Oct 1, 2001",259.07,328.55,259.05,307.35,307.34,-
"Sep 1, 2001",316.42,316.42,252.56,261.85,261.84,-
"Aug 1, 2001",383.61,391.09,322.54,325.98,325.96,-
"Jul 1, 2001",400.26,400.69,354.11,373.09,373.07,-
"Jun 1, 2001",399.2,427.68,365.18,396.69,396.67,-
"May 1, 2001",424.45,443.16,388.0,392.18,392.16,-
"Apr 1, 2001",343.24,438.91,313.94,412.85,412.83,-
"Mar 1, 2001",419.88,432.85,351.43,353.1,353.08,-
"Feb 1, 2001",566.74,566.74,404.58,404.58,404.56,-
