STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1959-04,,1.2185,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1959-05,,1.3302,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1959-06,,1.3013,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1959-07,,1.2272,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1959-08,,1.2891,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1959-09,,1.4113,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1959-10,,1.1837,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1959-11,,1.2915,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1959-12,,1.3526,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1960-01,,1.2466,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1960-02,,1.3528,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1960-03,,1.291,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1960-04,,1.3531,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1960-05,,1.2782,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1960-06,,1.2755,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1960-07,,1.2675,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1960-08,,1.2452,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1960-09,,1.2098,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1960-10,,1.1966,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1960-11,,1.1616,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1960-12,,1.1424,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1961-01,,1.1538,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1961-02,,1.1536,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1961-03,,1.1641,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1961-04,,1.1577,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1961-05,,1.1622,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1961-06,,1.18,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1961-07,,1.3594,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1961-08,,1.2429,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1961-09,,1.2661,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1961-10,,1.2985,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1961-11,,1.3048,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1961-12,,1.3255,,A,Normal value,9,Billions,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,IM,Merchandise imports,USD,US dollar,_T,Total - All activities,Y,Calendar and seasonally adjusted,_Z,Not applicable,1962-01,,1.3197,,A,Normal value,9,Billions,1,One,,
